nan,3.319100,nan,-1.994800
0.390120,-0.142790,-0.031994,0.350840
-1.667700,-7.153500,7.892900,0.967650
nan,nan,15.682400,-1.281000
-3.568100,nan,10.083000,0.967650
-2.280400,-0.306260,1.334700,1.376300
-1.758200,nan,-2.532300,-2.234000
-0.894090,3.199100,nan,-2.945200
0.343400,0.124150,nan,0.146540
-0.985400,-6.661000,5.824500,0.546100
-2.411500,-9.135900,9.344400,-0.652590
-1.525200,-6.253400,nan,0.599120
-0.614420,-0.091058,-0.318180,0.502140
-0.365060,2.892800,-3.646100,-3.060300
nan,6.567900,0.676610,-6.679700
-1.821500,2.752100,-0.722610,-2.353000
-0.774610,nan,2.402300,1.131900
nan,-9.036600,9.016200,-0.122430
-3.580100,-12.930900,13.177900,-2.567700
-1.821900,-6.882400,nan,0.057313
-0.348100,nan,-0.478410,0.626270
0.473680,3.360500,nan,-4.043100
-3.408300,nan,-0.768880,-4.866800
-1.666200,nan,1.423800,0.024986
nan,nan,6.618800,-0.337080
-2.668500,nan,9.113900,-1.732300
-0.474650,-4.349600,1.990100,0.751700
nan,1.185700,-2.641100,0.110330
nan,3.809500,-4.940800,-4.090900
-4.477900,7.370800,nan,-6.775400
nan,nan,nan,0.217660
-2.286000,nan,5.803900,0.882310
-1.624400,-6.344400,4.657500,0.169810
0.508130,nan,-1.980400,0.577140
1.640800,nan,-4.902300,-2.662100
nan,4.840000,nan,-6.082300
nan,9.104800,nan,-5.976300
-3.223800,2.793500,nan,-0.860780
-2.063100,-1.514700,1.219000,0.445240
-0.913180,-2.011300,nan,0.066365
nan,nan,-3.288800,-0.324150
0.913150,3.337700,nan,-1.674100
-0.280150,3.072900,-3.385700,-2.915500
-3.608500,3.325300,-0.519540,-3.573700
-6.200300,8.680600,nan,-3.703000
-4.293200,3.341900,nan,-0.997850
-3.026500,-0.062088,0.686040,-0.055186
-1.701500,-0.010356,-0.993370,-0.531040
nan,2.474800,-2.945200,-1.027600
nan,1.934800,nan,-1.089700
-2.065900,1.051200,-0.462980,-1.097400
nan,1.568500,-0.084261,-1.745300
-1.256800,-1.473300,2.871800,0.446530
-3.112800,-6.841000,nan,-1.017200
-4.855400,-5.903700,10.981800,-0.821990
nan,3.865400,-0.333600,-1.279700
0.243940,nan,-1.419200,-0.585350
-1.532200,-5.096600,nan,0.174980
nan,nan,17.677200,-3.320200
nan,-8.312300,12.454700,-1.437500
-3.073100,-0.531810,2.387700,0.776270
-1.979000,3.230100,-1.357500,-2.581900
-0.429400,-0.146930,nan,-0.156050
nan,-7.031400,7.493600,0.613340
nan,nan,nan,-1.388400
-3.807300,-8.097100,10.177200,0.650840
-2.591200,nan,1.279800,1.041400
-2.248200,3.091500,nan,-2.671100
nan,3.292200,nan,-3.439200
-0.394160,-0.020702,-0.066267,-0.446990
-1.522000,-6.638300,5.749100,-0.106910
